Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Pete Muldoon,Chicago Blackhawks,0.432,0.545,0.318,0.466,19,1,0
Rick Tocchet,Arizona Coyotes,0.431,0.455,0.408,0.49,125,4,0
Rick Ley,Hartford Whalers,0.431,0.438,0.425,0.494,69,2,0
Brad Larsen,Columbus Blue Jackets,0.431,0.491,0.362,0.471,44,2,0
Martin St. Louis,Montréal Canadiens,0.431,0.375,0.5,0.474,25,2,0
Lorne Henning,Minnesota North Stars,0.43,0.475,0.385,0.487,68,2,0
Conn Smythe,Toronto Maple Leafs,0.43,0.522,0.333,0.504,58,5,0
Al MacNeil,Atlanta Flames,0.429,0.525,0.333,0.521,103,3,0
Bob Pulford,Chicago Blackhawks,0.429,0.556,0.333,0.476,9,1,0
Craig Ramsay,Philadelphia Flyers,0.429,0.467,0.385,0.5,12,1,0
Doug Carpenter,Toronto Maple Leafs,0.429,0.556,0.304,0.456,39,2,0
Bill Dineen,Philadelphia Flyers,0.429,0.571,0.286,0.5,60,2,0
Percy LeSueur,Hamilton Tigers,0.429,0.833,0.125,0.429,6,1,0
Dan Maloney,Winnipeg Jets (1979),0.429,0.523,0.333,0.495,91,3,0
Rogie Vachon,Los Angeles Kings,0.429,0.5,0.333,0.571,3,1,0
Jacques Demers,Detroit Red Wings,0.428,0.525,0.331,0.502,137,4,0
Kirk Muller,Carolina Hurricanes,0.428,0.452,0.404,0.5,80,3,0
